Algorithm,Accuracy,Precision (Real),Precision (Fake),Recall (Real),Recall (Fake),F1-Score (Real),F1-Score (Fake)
ResNet50,0.6115,0.63,0.6,0.54,0.69,0.58,0.64
VGG16,0.6826,0.66,0.71,0.74,0.63,0.7,0.66
SVM,0.9824,0.97,0.99,0.99,0.97,0.98,0.98
Gradient Boosting,0.9265,0.94,0.92,0.91,0.94,0.92,0.93
