Algorithm,Accuracy,Precision (Real),Precision (Fake),Recall (Real),Recall (Fake),F1-Score (Real),F1-Score (Fake)
ResNet50,0.847,0.77,0.96,0.97,0.73,0.86,0.83
VGG16,0.8554,0.83,0.89,0.89,0.82,0.86,0.85
SVM,0.9965,0.99,0.99,0.99,0.99,0.99,0.99
Gradient Boosting,0.9565,0.97,0.95,0.95,0.97,0.96,0.96
